name,age,team,minutes_played,PER,TS,WS,BPM,VORP,PPG,AST,TRB,BLK,STL,G,MP,mvp_label,year
Mark Jackson,24.0,NYK,2428.0,14.3,0.492,3.7,0.4,1.5,9.9,7.4,3.9,0.0,1.3,82.0,29.6,0,1990
Armen Gilliam,25.0,2TM,2426.0,16.6,0.565,4.5,-0.9,0.6,16.7,1.3,7.9,0.7,0.9,76.0,31.9,0,1990
Kenny Smith,24.0,2TM,2421.0,13.3,0.526,2.6,-1.7,0.2,11.9,5.6,2.0,0.1,1.0,79.0,30.6,0,1990
Sam Mitchell,26.0,MIN,2414.0,13.7,0.512,5.1,-2.4,-0.3,12.7,1.1,5.8,0.7,0.8,80.0,30.2,0,1990
Rony Seikaly,24.0,MIA,2409.0,15.9,0.53,3.2,-1.7,0.2,16.6,1.1,10.4,1.7,1.1,74.0,32.6,0,1990
Rik Smits,23.0,IND,2404.0,18.1,0.579,6.6,0.7,1.6,15.5,1.7,6.2,2.1,0.5,82.0,29.3,0,1990
Kelly Tripucka,30.0,CHH,2404.0,13.6,0.521,2.1,-1.8,0.1,15.6,2.8,4.1,0.2,0.9,79.0,30.4,0,1990
Mark West,29.0,PHO,2399.0,15.7,0.656,8.2,1.4,2.0,10.5,0.5,8.9,2.2,0.4,82.0,29.3,0,1990
Robert Parish,36.0,BOS,2396.0,19.2,0.616,7.8,1.1,1.9,15.7,1.3,10.1,0.9,0.5,79.0,30.3,0,1990
Dennis Rodman,28.0,DET,2377.0,15.4,0.608,9.3,1.6,2.2,8.8,0.9,9.7,0.7,0.6,82.0,29.0,0,1990
Terry Teagle,29.0,GSW,2376.0,14.8,0.529,2.7,-2.4,-0.3,16.1,1.9,4.5,0.2,1.1,82.0,29.0,0,1990
John Paxson,29.0,CHI,2365.0,12.7,0.555,4.8,-1.5,0.3,10.0,4.1,1.5,0.1,1.0,82.0,28.8,0,1990
Lester Conner,30.0,NJN,2355.0,12.8,0.486,3.7,-0.5,0.9,7.9,4.7,3.2,0.1,2.1,82.0,28.7,0,1990
Reggie Theus,32.0,ORL,2350.0,15.9,0.524,2.5,-1.2,0.5,18.9,5.4,2.9,0.2,0.8,76.0,30.9,0,1990
Nate McMillan,25.0,SEA,2338.0,14.4,0.517,4.9,2.6,2.7,6.4,7.3,4.9,0.5,1.7,82.0,28.5,0,1990
Ken Norman,25.0,LAC,2334.0,14.6,0.534,2.9,-0.9,0.6,16.1,2.3,6.7,0.8,1.1,70.0,33.3,0,1990
Benoit Benjamin,25.0,LAC,2313.0,16.7,0.578,5.4,1.6,2.1,13.5,2.2,9.3,2.6,0.8,71.0,32.6,0,1990
Glen Rice,22.0,MIA,2311.0,11.3,0.466,1.4,-3.2,-0.7,13.6,1.8,4.6,0.4,0.9,77.0,30.0,0,1990
James Edwards,34.0,DET,2283.0,13.3,0.549,5.6,-1.7,0.1,14.5,0.8,4.2,0.5,0.3,82.0,27.8,0,1990
Mark Eaton,33.0,UTA,2281.0,10.6,0.561,5.3,0.4,1.4,4.8,0.5,7.3,2.5,0.4,82.0,27.8,0,1990
Jeff Hornacek,26.0,PHO,2278.0,19.6,0.596,8.7,4.6,3.8,17.6,5.0,4.7,0.2,1.7,67.0,34.0,0,1990
Johnny Newman,26.0,NYK,2277.0,12.7,0.562,4.5,-1.1,0.5,12.9,2.3,2.4,0.3,1.2,80.0,28.5,0,1990
Kevin Willis,27.0,ATL,2273.0,15.7,0.551,4.7,-1.7,0.1,12.4,0.7,8.0,0.6,0.8,81.0,28.1,0,1990
Rick Mahorn,31.0,PHI,2271.0,13.9,0.546,5.3,-0.4,0.9,10.8,1.3,7.6,1.4,0.6,75.0,30.3,0,1990
Danny Manning,23.0,LAC,2269.0,16.3,0.584,5.3,0.4,1.4,16.3,2.6,5.9,0.5,1.3,71.0,32.0,0,1990
James Donaldson,32.0,DAL,2265.0,12.2,0.581,4.5,-1.5,0.3,9.1,0.8,8.6,0.6,0.3,73.0,31.0,0,1990
Jack Sikma,34.0,MIL,2250.0,14.7,0.524,5.0,0.6,1.5,13.9,3.2,6.9,0.7,1.1,71.0,31.7,0,1990
Dan Majerle,24.0,PHO,2244.0,13.5,0.498,5.5,1.3,1.9,11.1,2.6,5.9,0.4,1.4,73.0,30.7,0,1990
Charles Jones,32.0,WSB,2240.0,9.2,0.554,3.8,-0.5,0.9,3.2,1.7,6.2,2.4,0.6,81.0,27.7,0,1990
Fred Roberts,29.0,MIL,2235.0,11.6,0.553,3.5,-2.3,-0.1,10.5,1.8,3.8,0.3,0.7,82.0,27.3,0,1990
Purvis Short,32.0,NJN,2213.0,13.4,0.508,3.3,-2.0,0.0,13.1,1.8,3.0,0.2,0.8,82.0,27.0,0,1990
Alex English,36.0,DEN,2211.0,17.9,0.522,5.1,1.2,1.8,17.9,2.8,3.6,0.3,0.6,80.0,27.6,0,1990
Kevin Edwards,24.0,MIA,2211.0,11.6,0.451,0.3,-2.1,0.0,12.0,3.2,3.6,0.4,1.6,78.0,28.3,0,1990
Sam Bowie,28.0,NJN,2207.0,16.2,0.499,4.7,-1.1,0.5,14.7,1.3,10.1,1.8,0.6,68.0,32.5,0,1990
Herb Williams,31.0,DAL,2199.0,10.4,0.476,2.2,-2.0,0.0,8.6,1.5,4.8,1.3,0.6,81.0,27.1,0,1990
Charles Oakley,26.0,NYK,2196.0,15.9,0.58,6.0,-0.3,0.9,14.6,2.4,11.9,0.3,1.0,61.0,36.0,0,1990
Spud Webb,26.0,ATL,2184.0,15.3,0.538,4.5,0.5,1.4,9.2,5.8,2.5,0.1,1.3,82.0,26.6,0,1990
Bob Hansen,29.0,UTA,2174.0,8.5,0.517,2.8,-2.1,-0.1,7.6,1.8,2.8,0.1,0.6,81.0,26.8,0,1990
Bill Cartwright,32.0,CHI,2160.0,12.8,0.562,4.5,-2.5,-0.3,11.4,2.0,6.5,0.5,0.5,71.0,30.4,0,1990
Billy Thompson,26.0,MIA,2142.0,14.7,0.536,3.6,-0.2,1.0,11.0,2.1,7.0,1.1,0.7,79.0,27.1,0,1990
Rod Strickland,23.0,2TM,2140.0,15.7,0.494,4.3,1.2,1.7,10.6,5.7,3.2,0.2,1.5,82.0,26.1,0,1990
LaSalle Thompson,28.0,IND,2126.0,10.3,0.523,2.4,-2.6,-0.3,6.8,1.3,7.7,0.9,0.8,82.0,25.9,0,1990
Ron Anderson,31.0,PHI,2089.0,13.9,0.499,3.8,-1.4,0.3,11.9,1.8,3.8,0.2,0.9,78.0,26.8,0,1990
Larry Nance,30.0,CLE,2065.0,19.1,0.554,6.5,2.7,2.4,16.3,2.6,8.3,2.0,0.9,62.0,33.3,0,1990
Dennis Johnson,35.0,BOS,2036.0,12.4,0.495,3.8,-0.3,0.9,7.1,6.5,2.7,0.2,1.1,75.0,27.1,0,1990
Dale Ellis,29.0,SEA,2033.0,19.0,0.58,6.4,2.5,2.3,23.5,2.0,4.3,0.1,1.1,55.0,37.0,0,1990
Sean Elliott,21.0,SAS,2032.0,12.5,0.546,4.6,-1.1,0.4,10.0,1.9,3.7,0.2,0.6,81.0,25.1,0,1990
Mark Aguirre,30.0,DET,2005.0,15.8,0.544,5.7,1.0,1.5,14.1,1.9,3.9,0.2,0.4,78.0,25.7,0,1990
Blair Rasmussen,27.0,DEN,1995.0,16.0,0.525,5.2,-1.0,0.5,12.4,1.0,7.3,1.3,0.5,81.0,24.6,0,1990
Rod Higgins,30.0,GSW,1993.0,15.5,0.6,5.0,1.0,1.5,11.1,1.6,5.1,0.6,0.6,82.0,24.3,0,1990
Vernon Maxwell,24.0,2TM,1987.0,11.5,0.496,2.8,-1.1,0.5,9.0,3.7,2.9,0.1,1.1,79.0,25.2,0,1990
Vinnie Johnson,33.0,DET,1972.0,12.9,0.467,3.2,-0.1,0.9,9.8,3.1,3.1,0.2,0.9,82.0,24.0,0,1990
Brad Lohaus,25.0,2TM,1943.0,13.6,0.517,3.3,0.3,1.1,9.2,2.1,5.0,1.1,0.7,80.0,24.3,0,1990
John Salley,25.0,DET,1914.0,13.5,0.575,6.1,1.5,1.7,7.2,0.8,5.4,1.9,0.6,82.0,23.3,0,1990
Kurt Rambis,31.0,2TM,1904.0,12.1,0.539,4.1,0.7,1.3,6.2,1.8,7.1,0.5,1.4,74.0,25.7,0,1990
Mark Alarie,26.0,WSB,1893.0,14.1,0.51,3.1,-1.3,0.3,10.5,1.7,4.6,0.5,0.7,82.0,23.1,0,1990
Blue Edwards,24.0,UTA,1889.0,10.7,0.556,2.7,-2.3,-0.1,8.9,1.8,3.1,0.4,0.9,82.0,23.0,0,1990
Mychal Thompson,35.0,LAL,1883.0,13.4,0.542,4.7,-2.0,0.0,10.1,0.6,6.8,1.0,0.5,70.0,26.9,0,1990
Randy Breuer,29.0,2TM,1879.0,13.0,0.462,2.0,-2.3,-0.2,8.9,1.2,5.1,1.3,0.5,81.0,23.2,0,1990
Sidney Green,29.0,ORL,1860.0,12.7,0.501,1.7,-3.4,-0.6,10.4,1.4,8.1,0.4,0.7,73.0,25.5,0,1990
Dell Curry,25.0,CHH,1860.0,15.9,0.517,1.8,0.9,1.4,16.0,2.4,2.5,0.4,1.5,67.0,27.8,0,1990
Vinny Del Negro,23.0,SAC,1858.0,12.6,0.52,2.2,-2.1,-0.1,9.7,3.3,2.6,0.1,0.8,76.0,24.4,0,1990
Grant Long,23.0,MIA,1856.0,11.6,0.538,2.7,-2.3,-0.1,8.5,1.2,5.0,0.5,1.1,81.0,22.9,0,1990
David Wingate,26.0,SAS,1856.0,9.4,0.488,1.9,-1.7,0.1,6.8,2.7,2.5,0.2,1.1,78.0,23.8,0,1990
Mitchell Wiggins,30.0,HOU,1852.0,16.3,0.535,5.4,0.2,1.0,15.5,1.6,4.3,0.0,1.3,66.0,28.1,0,1990
Michael Cooper,33.0,LAL,1851.0,9.6,0.482,2.7,-0.7,0.6,6.4,2.7,2.8,0.5,0.8,80.0,23.1,0,1990
Harvey Grant,24.0,WSB,1846.0,12.0,0.502,2.6,-2.2,-0.1,8.2,1.6,4.2,0.5,0.6,81.0,22.8,0,1990
Jerry Reynolds,27.0,ORL,1817.0,14.1,0.486,1.3,-0.6,0.6,12.8,2.7,4.8,1.0,1.4,67.0,27.1,0,1990
Eddie Johnson,30.0,PHO,1811.0,14.9,0.542,3.9,-0.9,0.5,16.9,1.7,3.8,0.2,0.5,64.0,28.3,0,1990
Nick Anderson,22.0,ORL,1785.0,14.9,0.536,1.8,-1.0,0.5,11.5,1.5,3.9,0.4,0.9,81.0,22.0,0,1990
Stacey King,23.0,CHI,1777.0,13.8,0.562,3.6,-3.0,-0.4,8.9,1.1,4.7,0.7,0.5,82.0,21.7,0,1990
Tellis Frank,24.0,MIA,1762.0,11.1,0.518,2.0,-3.9,-0.8,9.5,1.1,5.0,0.4,0.7,77.0,22.9,0,1990
Rex Chapman,22.0,CHH,1762.0,11.9,0.469,-0.7,-3.7,-0.8,17.5,2.4,3.3,0.1,0.9,54.0,32.6,0,1990
Winston Garland,25.0,2TM,1762.0,9.8,0.458,-0.3,-3.4,-0.6,7.3,3.8,2.7,0.1,1.0,79.0,22.3,0,1990
Rory Sparrow,31.0,MIA,1756.0,8.8,0.448,0.7,-4.0,-0.9,5.9,3.6,1.7,0.0,0.6,82.0,21.4,0,1990
Sidney Lowe,30.0,MIN,1744.0,8.7,0.37,1.5,-2.7,-0.3,2.3,4.2,2.0,0.1,0.9,80.0,21.8,0,1990
Antoine Carr,28.0,2TM,1727.0,16.4,0.557,3.5,-0.6,0.6,12.3,1.5,4.2,0.9,0.4,77.0,22.4,0,1990
Trent Tucker,30.0,NYK,1725.0,12.0,0.518,3.3,0.0,0.9,8.2,2.1,2.1,0.1,0.9,81.0,21.3,0,1990
Tom Garrick,23.0,LAC,1721.0,11.8,0.539,2.5,-1.3,0.3,7.0,4.0,2.2,0.1,1.2,73.0,23.6,0,1990
Joe Barry Carroll,31.0,2TM,1721.0,12.6,0.455,0.7,-2.9,-0.4,10.0,1.3,5.8,1.5,0.6,76.0,22.6,0,1990
Ricky Pierce,30.0,MIL,1709.0,21.9,0.592,5.8,2.9,2.1,23.0,2.3,2.8,0.1,0.8,59.0,29.0,0,1990
Cliff Levingston,29.0,ATL,1706.0,12.1,0.54,3.4,-0.7,0.5,6.9,1.1,4.3,0.5,0.7,75.0,22.7,0,1990
Ledell Eackles,23.0,WSB,1696.0,14.3,0.496,1.0,-3.2,-0.5,13.5,2.3,2.2,0.1,0.6,78.0,21.7,0,1990
Šarūnas Marčiulionis,25.0,GSW,1695.0,15.5,0.616,3.8,-0.8,0.5,12.1,1.6,2.9,0.1,1.3,75.0,22.6,0,1990
Mark Acres,27.0,ORL,1691.0,8.3,0.536,1.6,-3.7,-0.7,4.5,0.8,5.4,0.3,0.5,80.0,21.1,0,1990
Steve Kerr,24.0,CLE,1664.0,12.0,0.56,3.2,-0.8,0.5,6.7,3.2,1.3,0.1,0.6,78.0,21.3,0,1990
Sam Vincent,26.0,ORL,1657.0,15.4,0.536,2.4,0.4,1.0,11.2,5.6,3.1,0.3,1.0,63.0,26.3,0,1990
Roy Tarpley,25.0,DAL,1648.0,18.0,0.491,3.5,-0.3,0.7,16.8,1.5,13.1,1.6,1.8,45.0,36.6,0,1990
Otis Smith,26.0,ORL,1644.0,17.2,0.543,3.3,1.5,1.5,13.5,2.3,4.6,0.9,1.2,65.0,25.3,0,1990
Walter Davis,35.0,DEN,1635.0,18.3,0.533,3.6,0.8,1.1,17.5,2.2,2.6,0.1,0.9,69.0,23.7,0,1990
Dana Barros,22.0,SEA,1630.0,12.8,0.497,1.8,-0.6,0.6,9.7,2.5,1.6,0.0,0.7,81.0,20.1,0,1990
Randolph Keys,23.0,2TM,1615.0,10.9,0.474,1.0,-4.0,-0.8,8.8,1.1,3.2,0.1,0.9,80.0,20.2,0,1990
Vlade Divac,21.0,LAL,1611.0,17.5,0.544,5.0,0.7,1.1,8.5,0.9,6.2,1.4,1.0,82.0,19.6,0,1990
Bill Hanzlik,32.0,DEN,1605.0,10.3,0.525,2.9,-1.1,0.3,6.2,2.3,2.6,0.4,1.0,81.0,19.8,0,1990
Harold Pressley,26.0,SAC,1603.0,13.7,0.506,2.3,0.0,0.8,8.8,2.1,4.3,0.5,0.8,72.0,22.3,0,1990
Kenny Walker,25.0,NYK,1595.0,12.7,0.581,4.0,-1.2,0.3,7.9,0.7,5.0,0.8,0.5,68.0,23.5,0,1990
Clifford Robinson,23.0,POR,1565.0,9.3,0.433,0.3,-5.0,-1.2,9.1,0.9,3.8,0.6,0.6,82.0,19.1,0,1990
Chris Mullin,27.0,GSW,3315.0,21.4,0.618,12.2,4.7,5.6,25.7,4.0,5.4,0.8,2.1,82.0,40.4,0,1991
Karl Malone,27.0,UTA,3302.0,24.8,0.596,15.5,5.4,6.2,29.0,3.3,11.8,1.0,1.1,82.0,40.3,0,1991
Tim Hardaway,24.0,GSW,3215.0,20.9,0.547,9.9,4.4,5.2,22.9,9.7,4.0,0.1,2.6,82.0,39.2,0,1991
Tyrone Corbin,28.0,MIN,3196.0,16.6,0.499,5.4,0.9,2.3,18.0,4.2,7.2,0.6,2.0,82.0,39.0,0,1991
Pooh Richardson,24.0,MIN,3154.0,18.1,0.492,5.9,2.0,3.2,17.1,9.0,3.5,0.2,1.6,82.0,38.5,0,1991
Sam Mitchell,27.0,MIN,3121.0,12.3,0.505,5.1,-3.2,-0.9,14.6,1.6,6.3,0.7,0.8,82.0,38.1,0,1991
Hersey Hawkins,24.0,PHI,3110.0,19.4,0.592,9.8,3.3,4.1,22.1,3.7,3.9,0.5,2.2,80.0,38.9,0,1991
Patrick Ewing,28.0,NYK,3104.0,23.7,0.561,10.0,4.2,4.9,26.6,3.0,11.2,3.2,1.0,81.0,38.3,0,1991
John Stockton,28.0,UTA,3103.0,23.4,0.604,14.0,8.3,8.1,17.2,14.2,2.9,0.2,2.9,82.0,37.8,0,1991
David Robinson,25.0,SAS,3095.0,27.4,0.615,17.0,8.5,8.2,25.6,2.5,13.0,3.9,1.5,82.0,37.7,0,1991
Dominique Wilkins,31.0,ATL,3078.0,23.5,0.555,11.4,4.9,5.4,25.9,3.3,9.0,0.8,1.5,81.0,38.0,0,1991
Joe Dumars,27.0,DET,3046.0,18.0,0.552,9.9,2.7,3.6,20.4,5.5,2.3,0.1,1.1,80.0,38.1,0,1991
Sean Elliott,22.0,SAS,3044.0,14.2,0.564,8.8,0.8,2.1,15.9,2.9,5.6,0.4,0.8,82.0,37.1,0,1991
Otis Thorpe,28.0,HOU,3039.0,17.2,0.598,10.4,1.2,2.5,17.5,2.4,10.3,0.2,0.9,82.0,37.1,0,1991
Michael Jordan,27.0,CHI,3034.0,31.6,0.605,20.3,12.0,10.8,31.5,5.5,6.0,1.0,2.7,82.0,37.0,1,1991
Mitch Richmond,25.0,GSW,3027.0,17.8,0.565,7.1,1.0,2.3,23.9,3.1,5.9,0.4,1.6,77.0,39.3,0,1991
Scottie Pippen,25.0,CHI,3014.0,20.6,0.561,11.2,5.8,5.9,17.8,6.2,7.3,1.1,2.4,82.0,36.8,0,1991
James Worthy,29.0,LAL,3008.0,18.1,0.531,9.0,2.5,3.4,21.4,3.5,4.6,0.4,1.3,78.0,38.6,0,1991
Lionel Simmons,22.0,SAC,2978.0,15.4,0.476,2.7,-0.4,1.2,18.0,4.0,8.8,1.1,1.4,79.0,37.7,0,1991
Reggie Miller,25.0,IND,2972.0,21.2,0.65,12.5,4.2,4.6,22.6,4.0,3.4,0.2,1.3,82.0,36.2,0,1991
Rolando Blackman,31.0,DAL,2965.0,16.6,0.545,5.5,0.0,1.5,19.9,3.8,3.2,0.2,0.9,80.0,37.1,0,1991
Reggie Theus,33.0,NJN,2955.0,14.2,0.54,4.7,-1.1,0.6,18.6,4.7,2.8,0.4,1.0,81.0,36.5,0,1991
Brad Daugherty,25.0,CLE,2946.0,19.9,0.583,9.0,2.2,3.1,21.6,3.3,10.9,0.6,1.0,76.0,38.8,0,1991
Magic Johnson,31.0,LAL,2933.0,25.1,0.623,15.4,9.0,8.1,19.4,12.5,7.0,0.2,1.3,79.0,37.1,0,1991
Larry Nance,31.0,CLE,2927.0,20.6,0.567,9.8,3.6,4.2,19.2,3.0,8.6,2.5,0.8,80.0,36.6,0,1991
Tony Campbell,28.0,MIN,2893.0,16.6,0.494,3.7,-0.2,1.3,21.8,2.8,4.5,0.6,1.6,77.0,37.6,0,1991
Derek Harper,29.0,DAL,2879.0,19.4,0.543,7.6,3.1,3.7,19.7,7.1,3.0,0.2,1.9,77.0,37.4,0,1991
Reggie Lewis,25.0,BOS,2878.0,16.2,0.54,7.5,0.7,1.9,18.7,2.5,5.2,1.1,1.2,79.0,36.4,0,1991
Vernon Maxwell,25.0,HOU,2870.0,13.5,0.507,5.9,0.6,1.9,17.0,3.7,2.9,0.2,1.5,82.0,35.0,0,1991
Clyde Drexler,28.0,POR,2852.0,22.1,0.563,12.4,6.8,6.4,21.5,6.0,6.7,0.7,1.8,82.0,34.8,0,1991
Harvey Grant,25.0,WSB,2842.0,16.5,0.527,6.7,0.7,1.9,18.2,2.6,7.2,0.8,1.2,77.0,36.9,0,1991
James Donaldson,33.0,DAL,2800.0,12.3,0.572,4.3,-1.9,0.0,10.0,0.8,8.9,1.1,0.4,82.0,34.1,0,1991
Brian Shaw,24.0,BOS,2772.0,15.5,0.519,5.9,1.1,2.2,13.8,7.6,4.7,0.4,1.3,79.0,35.1,0,1991
Kevin Johnson,24.0,PHO,2772.0,23.7,0.604,12.7,6.6,6.0,22.2,10.1,3.5,0.1,2.1,77.0,36.0,0,1991
Craig Ehlo,29.0,CLE,2766.0,12.0,0.498,3.4,-0.4,1.1,10.1,4.6,4.7,0.4,1.5,82.0,33.7,0,1991
Dennis Rodman,29.0,DET,2747.0,13.9,0.525,8.7,0.6,1.8,8.2,1.0,12.5,0.7,0.8,82.0,33.5,0,1991
Charles Oakley,27.0,NYK,2739.0,13.6,0.585,6.2,-1.0,0.7,11.2,2.7,12.1,0.2,0.8,76.0,36.0,0,1991
Jeff Hornacek,27.0,PHO,2733.0,17.8,0.587,9.7,3.3,3.7,16.9,5.1,4.0,0.2,1.4,80.0,34.2,0,1991
Jay Humphries,28.0,MIL,2726.0,17.4,0.57,8.6,2.1,2.9,15.2,6.7,2.8,0.1,1.6,80.0,34.1,0,1991
Scott Skiles,26.0,ORL,2714.0,17.8,0.563,7.0,1.9,2.7,17.2,8.4,3.4,0.1,1.1,79.0,34.4,0,1991
Kevin Gamble,25.0,BOS,2706.0,16.3,0.62,8.3,1.2,2.2,15.6,3.1,3.3,0.4,1.2,82.0,33.0,0,1991
Charles Smith,25.0,LAC,2703.0,17.6,0.536,7.4,1.1,2.1,20.0,1.8,8.2,2.0,1.1,74.0,36.5,0,1991
Kenny Smith,25.0,HOU,2699.0,18.3,0.599,9.0,2.9,3.3,17.7,7.1,2.1,0.1,1.4,78.0,34.6,0,1991
Bill Laimbeer,33.0,DET,2668.0,14.2,0.536,8.0,1.5,2.3,11.0,1.9,9.0,0.7,0.5,82.0,32.5,0,1991
Terry Porter,27.0,POR,2665.0,21.7,0.632,13.0,7.4,6.2,17.0,8.0,3.5,0.1,2.0,81.0,32.9,0,1991
Glen Rice,23.0,MIA,2646.0,14.1,0.522,4.4,-0.5,1.0,17.4,2.5,4.9,0.3,1.3,77.0,34.4,0,1991
Armen Gilliam,26.0,2TM,2644.0,15.5,0.542,4.6,-1.8,0.1,16.6,1.4,8.0,0.7,0.9,75.0,35.3,0,1991
Horace Grant,25.0,CHI,2641.0,17.6,0.585,10.3,2.5,3.0,12.8,2.3,8.4,0.9,1.2,78.0,33.9,0,1991
Xavier McDaniel,27.0,2TM,2634.0,15.2,0.527,5.1,-0.5,1.0,17.0,2.3,6.9,0.6,0.9,81.0,32.5,0,1991
Detlef Schrempf,28.0,IND,2632.0,18.6,0.618,9.0,2.0,2.6,16.1,3.7,8.0,0.3,0.7,82.0,32.1,0,1991
Byron Scott,29.0,LAL,2630.0,14.2,0.534,6.6,0.9,2.0,14.5,2.2,3.0,0.3,1.2,82.0,32.1,0,1991
Derrick Coleman,23.0,NJN,2602.0,17.6,0.527,5.8,0.4,1.5,18.4,2.2,10.3,1.3,1.0,74.0,35.2,0,1991
Alvin Robertson,28.0,MIL,2598.0,18.6,0.538,7.7,4.4,4.2,13.6,5.5,5.7,0.2,3.0,81.0,32.1,0,1991
Willie Anderson,24.0,SAS,2592.0,13.0,0.499,4.8,0.1,1.4,14.4,4.8,4.7,0.6,1.1,75.0,34.6,0,1991
Doc Rivers,29.0,ATL,2586.0,16.2,0.527,6.3,1.9,2.6,15.2,4.3,3.2,0.6,1.9,79.0,32.7,0,1991
Mookie Blaylock,23.0,NJN,2585.0,13.1,0.455,2.1,-0.7,0.9,14.1,6.1,3.5,0.6,2.3,72.0,35.9,0,1991
Buck Williams,30.0,POR,2582.0,14.3,0.639,8.5,0.5,1.6,11.7,1.2,9.4,0.6,0.6,80.0,32.3,0,1991
Mark Eaton,34.0,UTA,2580.0,9.5,0.599,5.5,-0.6,0.9,5.1,0.6,8.3,2.4,0.5,80.0,32.3,0,1991
Chuck Person,26.0,IND,2566.0,16.1,0.553,3.9,-0.7,0.8,18.4,3.0,5.2,0.2,0.7,80.0,32.1,0,1991
Sherman Douglas,24.0,MIA,2562.0,18.0,0.546,5.4,1.8,2.5,18.5,8.5,2.9,0.1,1.7,73.0,35.1,0,1991
Rodney McCray,29.0,DAL,2561.0,14.6,0.551,5.3,1.0,1.9,11.4,3.5,7.6,0.7,0.9,74.0,34.6,0,1991
Chris Morris,25.0,NJN,2553.0,14.7,0.487,4.5,1.0,1.9,13.2,2.8,6.6,1.2,1.7,79.0,32.3,0,1991
Antoine Carr,29.0,SAC,2527.0,18.3,0.554,5.4,0.8,1.8,20.1,2.5,5.5,1.3,0.6,77.0,32.8,0,1991
Grant Long,24.0,MIA,2514.0,12.2,0.554,5.0,-0.3,1.1,9.2,2.2,7.1,0.5,1.5,80.0,31.4,0,1991
Kevin Duckworth,26.0,POR,2511.0,12.7,0.525,4.3,-3.3,-0.8,15.8,1.1,6.6,0.4,0.4,81.0,31.0,0,1991
Sam Perkins,29.0,LAL,2504.0,14.8,0.567,8.0,0.9,1.9,13.5,1.5,7.4,1.1,0.9,73.0,34.3,0,1991
Derrick McKey,24.0,SEA,2503.0,15.7,0.575,6.4,1.1,1.9,15.3,2.3,5.8,0.8,1.2,73.0,34.3,0,1991
Charles Barkley,27.0,PHI,2498.0,28.9,0.635,13.4,9.3,7.0,27.6,4.2,10.1,0.5,1.6,67.0,37.3,0,1991
Thurl Bailey,29.0,UTA,2486.0,12.5,0.513,3.7,-1.4,0.4,12.4,1.5,5.0,1.1,0.6,82.0,30.3,0,1991
Johnny Newman,27.0,CHH,2477.0,15.1,0.559,4.1,-1.0,0.7,16.9,2.3,3.1,0.2,1.2,81.0,30.6,0,1991
Tom Chambers,31.0,PHO,2475.0,16.2,0.513,5.4,-0.9,0.7,19.9,2.6,6.4,0.7,0.9,76.0,32.6,0,1991
J.R. Reid,22.0,CHH,2467.0,10.8,0.508,1.8,-3.7,-1.1,11.3,1.1,6.3,0.6,1.1,80.0,30.8,0,1991
Jeff Malone,29.0,UTA,2466.0,14.4,0.56,5.1,-2.0,0.0,18.6,2.1,3.0,0.1,0.7,69.0,35.7,0,1991
Shawn Kemp,21.0,SEA,2442.0,17.6,0.551,6.1,0.0,1.2,15.0,1.8,8.4,1.5,1.0,81.0,30.1,0,1991
Robert Parish,37.0,BOS,2441.0,20.6,0.637,10.0,2.2,2.6,14.9,0.8,10.6,1.3,0.8,81.0,30.1,0,1991
Rick Mahorn,32.0,PHI,2439.0,11.8,0.535,4.4,-1.7,0.1,8.9,1.5,7.8,0.7,1.0,80.0,30.5,0,1991
Kiki Vandeweghe,32.0,NYK,2420.0,14.4,0.582,5.7,-0.8,0.7,16.3,1.5,2.4,0.1,0.6,75.0,32.3,0,1991
Bernard King,34.0,WSB,2401.0,19.1,0.527,3.5,1.1,1.8,28.4,4.6,5.0,0.3,0.9,64.0,37.5,0,1991
Vinnie Johnson,34.0,DET,2390.0,12.8,0.466,3.8,-0.2,1.1,11.7,3.3,3.4,0.2,0.9,82.0,29.1,0,1991
Rory Sparrow,32.0,SAC,2375.0,12.4,0.524,2.8,-1.5,0.3,10.4,4.5,2.3,0.2,1.0,80.0,29.7,0,1991
Kevin Willis,28.0,ATL,2373.0,15.3,0.533,4.4,-1.8,0.1,13.1,1.2,8.8,0.5,0.8,80.0,29.7,0,1991
Jerome Kersey,28.0,POR,2359.0,15.6,0.526,6.7,1.9,2.3,14.8,3.1,6.6,1.0,1.4,73.0,32.3,0,1991
Michael Adams,28.0,DEN,2346.0,22.3,0.53,6.3,5.3,4.3,26.5,10.5,3.9,0.1,2.2,66.0,35.5,0,1991
Ron Anderson,32.0,PHI,2340.0,15.5,0.524,4.1,-1.6,0.2,14.6,1.4,4.5,0.2,0.8,82.0,28.5,0,1991
Dennis Scott,22.0,ORL,2336.0,13.0,0.504,2.6,-1.5,0.3,15.7,1.6,2.9,0.3,0.8,82.0,28.5,0,1991
Blair Rasmussen,28.0,DEN,2325.0,11.7,0.473,1.7,-4.3,-1.3,12.5,1.0,9.7,1.9,0.7,70.0,33.2,0,1991
Vlade Divac,22.0,LAL,2310.0,17.7,0.606,8.3,2.3,2.5,11.2,1.1,8.1,1.5,1.3,82.0,28.2,0,1991
Ken Norman,26.0,LAC,2309.0,16.4,0.526,4.8,0.5,1.5,17.4,2.3,7.1,0.9,0.9,70.0,33.0,0,1991
Darrell Walker,29.0,WSB,2305.0,12.4,0.459,2.9,0.2,1.3,7.8,6.5,7.0,0.5,1.1,71.0,32.5,0,1991
