name,age,team,minutes_played,PER,TS,WS,BPM,VORP,PPG,AST,TRB,BLK,STL,G,MP,mvp_label,year
Vern Fleming,25.0,IND,2733.0,17.5,0.573,8.4,2.8,3.3,13.9,7.1,4.6,0.1,1.4,80.0,34.2,0,1988
Joe Dumars,24.0,DET,2732.0,13.7,0.53,5.9,0.6,1.8,14.2,4.7,2.4,0.2,1.1,82.0,33.3,0,1988
Mark Eaton,31.0,UTA,2731.0,9.5,0.457,4.1,-1.8,0.1,7.0,0.7,8.7,3.7,0.5,82.0,33.3,0,1988
Gerald Wilkins,24.0,NYK,2703.0,13.7,0.493,3.4,-0.4,1.1,17.4,4.0,3.3,0.3,1.1,81.0,33.4,0,1988
Xavier McDaniel,24.0,SEA,2703.0,18.2,0.528,6.2,1.4,2.3,21.4,3.4,6.6,0.7,1.2,78.0,34.7,0,1988
Steve Stipanovich,27.0,IND,2692.0,15.0,0.558,6.9,1.0,2.1,13.5,2.3,8.3,0.9,1.1,80.0,33.7,0,1988
Moses Malone,32.0,WSB,2692.0,21.1,0.577,9.2,1.6,2.5,20.3,1.4,11.2,0.9,0.7,79.0,34.1,0,1988
Rodney McCray,26.0,HOU,2689.0,15.1,0.554,7.6,1.6,2.5,12.4,3.3,7.8,0.6,0.7,81.0,33.2,0,1988
Tom Chambers,28.0,SEA,2680.0,16.8,0.526,6.4,0.0,1.3,20.4,2.6,6.0,0.6,1.1,82.0,32.7,0,1988
Dennis Johnson,33.0,BOS,2670.0,14.0,0.52,5.0,0.1,1.4,12.6,7.8,3.1,0.4,1.2,77.0,34.7,0,1988
Michael Cage,26.0,LAC,2660.0,16.4,0.537,6.7,-0.6,0.9,14.5,1.5,13.0,0.8,1.3,72.0,36.9,0,1988
Jeff Malone,26.0,WSB,2655.0,16.1,0.537,5.6,-0.3,1.1,20.5,3.0,2.6,0.2,0.6,80.0,33.2,0,1988
James Worthy,26.0,LAL,2655.0,18.2,0.571,7.9,2.3,2.9,19.7,3.9,5.0,0.7,1.0,75.0,35.4,0,1988
Reggie Theus,30.0,SAC,2653.0,16.5,0.529,3.7,-0.9,0.7,21.6,6.3,3.2,0.2,0.8,73.0,36.3,0,1988
Magic Johnson,28.0,LAL,2637.0,23.1,0.581,10.9,6.0,5.3,19.6,11.9,6.2,0.2,1.6,72.0,36.6,0,1988
Buck Williams,27.0,NJN,2637.0,18.2,0.603,7.6,0.2,1.5,18.3,1.6,11.9,0.6,1.0,70.0,37.7,0,1988
A.C. Green,24.0,LAL,2636.0,14.5,0.581,7.9,0.3,1.5,11.4,1.1,8.7,0.5,1.1,82.0,32.1,0,1988
Terry Cummings,26.0,MIL,2629.0,17.4,0.516,5.2,-0.1,1.3,21.3,2.4,7.3,0.6,1.0,76.0,34.6,0,1988
Mark Price,23.0,CLE,2626.0,17.6,0.589,7.8,2.2,2.8,16.0,6.0,2.3,0.2,1.2,80.0,32.8,0,1988
Mark Aguirre,28.0,DAL,2610.0,21.9,0.539,8.8,3.8,3.9,25.1,3.6,5.6,0.7,0.9,77.0,33.9,0,1988
Roy Hinson,26.0,2TM,2592.0,14.8,0.543,4.5,-1.1,0.6,15.3,1.3,6.7,1.8,0.9,77.0,33.7,0,1988
Rolando Blackman,28.0,DAL,2580.0,16.0,0.544,6.8,0.2,1.4,18.7,3.7,3.5,0.3,0.9,71.0,36.3,0,1988
Patrick Ewing,25.0,NYK,2546.0,21.9,0.594,8.1,4.2,4.0,20.2,1.5,8.2,3.0,1.3,82.0,31.0,0,1988
Mike Woodson,29.0,LAC,2534.0,14.7,0.509,3.1,-1.2,0.5,18.0,3.4,2.4,0.3,1.4,80.0,31.7,0,1988
James Donaldson,30.0,DAL,2523.0,12.4,0.616,6.2,0.0,1.3,7.0,0.8,9.3,1.3,0.5,81.0,31.1,0,1988
Sleepy Floyd,27.0,2TM,2514.0,15.4,0.513,4.4,0.2,1.4,15.0,7.1,3.8,0.2,1.2,77.0,32.6,0,1988
Doc Rivers,26.0,ATL,2502.0,20.4,0.527,8.3,4.9,4.4,14.2,9.3,4.6,0.5,1.8,80.0,31.3,0,1988
Sam Perkins,26.0,DAL,2499.0,15.0,0.521,6.7,-0.3,1.1,14.2,1.6,8.0,0.7,1.0,75.0,33.3,0,1988
Paul Pressey,29.0,MIL,2484.0,17.0,0.572,7.1,3.0,3.2,13.1,7.0,5.0,0.5,1.5,75.0,33.1,0,1988
Nate McMillan,23.0,SEA,2453.0,15.9,0.532,6.5,3.3,3.3,7.6,8.6,4.1,0.6,2.1,82.0,29.9,0,1988
